Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,21,21,0,District - Kandhamal  21,Rural,80-89,64,92,1,1,31,19,29,29,2,2
C4920,21,21,0,District - Kandhamal  21,Rural,90+,18,9,0,0,5,5,7,4,1,1
C4920,21,21,0,District - Kandhamal  21,Rural,Age not stated,12,13,1,0,1,1,2,0,1,1
C4920,21,21,0,District - Kandhamal  21,Urban,0-4,28,27,2,0,1,0,10,3,3,0
C4920,21,21,0,District - Kandhamal  21,Urban,5-9,50,45,5,4,4,2,11,8,7,3
C4920,21,21,0,District - Kandhamal  21,Urban,10-19,142,105,6,11,8,6,28,15,18,8
C4920,21,21,0,District - Kandhamal  21,Urban,20-29,99,97,3,4,8,1,41,12,13,11
C4920,21,21,0,District - Kandhamal  21,Urban,30-39,83,84,2,3,2,2,25,14,18,6
C4920,21,21,0,District - Kandhamal  21,Urban,40-49,58,46,2,4,1,3,21,11,4,9
C4920,21,21,0,District - Kandhamal  21,Urban,50-59,46,22,0,1,8,5,22,4,5,3
C4920,21,21,0,District - Kandhamal  21,Urban,60-69,18,24,4,0,4,8,12,6,2,0
C4920,21,21,0,District - Kandhamal  21,Urban,70-79,15,9,0,0,5,5,11,11,1,1
C4920,21,21,0,District - Kandhamal  21,Urban,80-89,2,6,0,0,2,1,2,3,0,0
C4920,21,21,0,District - Kandhamal  21,Urban,90+,0,1,0,0,0,0,0,1,0,0
C4920,21,21,0,District - Kandhamal  21,Urban,Age not stated,2,0,0,0,0,0,0,0,0,0
C4920,21,22,0,District - Baudh  *  22,Rural,0-4,274,262,13,10,6,8,62,51,15,17
C4920,21,22,0,District - Baudh  *  22,Rural,5-9,281,260,86,66,38,34,126,79,32,26
C4920,21,22,0,District - Baudh  *  22,Rural,10-19,476,404,122,108,50,34,274,177,68,66
C4920,21,22,0,District - Baudh  *  22,Rural,20-29,343,314,57,48,27,21,198,114,74,58
C4920,21,22,0,District - Baudh  *  22,Rural,30-39,364,259,64,36,46,36,152,102,66,62
C4920,21,22,0,District - Baudh  *  22,Rural,40-49,283,229,32,30,46,35,150,74,33,48
C4920,21,22,0,District - Baudh  *  22,Rural,50-59,226,196,28,15,46,66,120,70,27,19
C4920,21,22,0,District - Baudh  *  22,Rural,60-69,219,262,19,17,91,83,142,123,22,14
C4920,21,22,0,District - Baudh  *  22,Rural,70-79,160,143,9,9,49,43,98,93,9,11
C4920,21,22,0,District - Baudh  *  22,Rural,80-89,63,34,2,4,27,21,43,26,2,5
C4920,21,22,0,District - Baudh  *  22,Rural,90+,16,13,0,1,8,2,5,10,2,2
C4920,21,22,0,District - Baudh  *  22,Rural,Age not stated,21,1,0,0,1,0,4,1,0,0
C4920,21,22,0,District - Baudh  *  22,Urban,0-4,7,4,0,0,0,0,4,1,1,0
C4920,21,22,0,District - Baudh  *  22,Urban,5-9,8,8,4,3,1,0,7,8,2,1
C4920,21,22,0,District - Baudh  *  22,Urban,10-19,13,16,4,9,1,1,11,7,7,3
C4920,21,22,0,District - Baudh  *  22,Urban,20-29,11,7,4,4,0,1,13,6,7,2
C4920,21,22,0,District - Baudh  *  22,Urban,30-39,23,14,4,2,1,1,9,9,1,8
C4920,21,22,0,District - Baudh  *  22,Urban,40-49,19,4,3,1,5,1,7,6,3,4
C4920,21,22,0,District - Baudh  *  22,Urban,50-59,8,6,3,0,1,1,8,4,1,3
C4920,21,22,0,District - Baudh  *  22,Urban,60-69,13,6,2,1,2,2,3,3,2,3
C4920,21,22,0,District - Baudh  *  22,Urban,70-79,5,8,0,0,0,0,3,5,0,1
C4920,21,22,0,District - Baudh  *  22,Urban,80-89,0,3,0,0,0,1,2,1,0,0
C4920,21,22,0,District - Baudh  *  22,Urban,90+,0,1,0,0,1,0,0,1,1,0
C4920,21,22,0,District - Baudh  *  22,Urban,Age not stated,0,0,0,0,0,0,1,0,0,0
C4920,21,23,0,District - Sonapur  *  23,Rural,0-4,181,173,25,8,8,10,87,58,20,24
C4920,21,23,0,District - Sonapur  *  23,Rural,5-9,207,234,104,86,24,40,166,125,53,46
C4920,21,23,0,District - Sonapur  *  23,Rural,10-19,425,379,171,163,101,67,502,380,124,104
C4920,21,23,0,District - Sonapur  *  23,Rural,20-29,351,259,116,97,60,48,315,185,127,104
