Table Name (1),State Code (2),Distt.Code (3),Area Name  (4),Total/Rural/Urban (5),Age-group (6),In seeing Persons Males (11),In Hearing Persons Males (14),In Hearing Persons Females (15),In Speech Males (17),In Speech Females (18),In Movement Males (20),In Movement  Females (21)
C4920,28,11,District-Srikakulam,Urban,30-39,118,58,70,62,59,340,190
C4920,28,11,District-Srikakulam,Urban,40-49,127,73,71,67,49,360,191
C4920,28,11,District-Srikakulam,Urban,50-59,109,82,88,35,29,322,158
C4920,28,11,District-Srikakulam,Urban,60-69,149,95,102,31,16,296,191
C4920,28,11,District-Srikakulam,Urban,70-79,90,51,57,10,11,121,91
C4920,28,11,District-Srikakulam,Urban,80-89,16,21,19,1,2,22,40
C4920,28,11,District-Srikakulam,Urban,90+,5,2,5,1,0,2,4
C4920,28,11,District-Srikakulam,Urban,Age Not Stated,4,0,3,5,0,2,1
C4920,28,12,District-Vizianagaram,Rural,0-4,72,88,94,40,30,143,84
C4920,28,12,District-Vizianagaram,Rural,5-9,200,157,185,288,209,315,223
C4920,28,12,District-Vizianagaram,Rural,10-19,570,425,403,534,490,945,689
C4920,28,12,District-Vizianagaram,Rural,20-29,396,364,394,514,455,1516,1023
C4920,28,12,District-Vizianagaram,Rural,30-39,474,411,458,514,419,1398,779
C4920,28,12,District-Vizianagaram,Rural,40-49,728,528,491,446,321,1496,791
C4920,28,12,District-Vizianagaram,Rural,50-59,929,482,538,284,246,1393,860
C4920,28,12,District-Vizianagaram,Rural,60-69,1722,736,765,238,198,1623,1091
C4920,28,12,District-Vizianagaram,Rural,70-79,819,361,371,77,48,571,432
C4920,28,12,District-Vizianagaram,Rural,80-89,163,79,93,15,13,93,118
C4920,28,12,District-Vizianagaram,Rural,90+,34,10,9,3,1,17,17
C4920,28,12,District-Vizianagaram,Rural,Age Not Stated,34,36,47,23,21,64,45
C4920,28,12,District-Vizianagaram,Urban,0-4,10,15,14,13,10,18,15
C4920,28,12,District-Vizianagaram,Urban,5-9,46,34,33,73,56,45,36
C4920,28,12,District-Vizianagaram,Urban,10-19,154,104,105,202,148,152,133
C4920,28,12,District-Vizianagaram,Urban,20-29,96,73,93,169,211,368,297
C4920,28,12,District-Vizianagaram,Urban,30-39,119,102,79,175,163,396,201
C4920,28,12,District-Vizianagaram,Urban,40-49,160,101,100,148,114,399,213
C4920,28,12,District-Vizianagaram,Urban,50-59,153,101,116,86,100,369,203
C4920,28,12,District-Vizianagaram,Urban,60-69,191,112,148,78,70,350,246
C4920,28,12,District-Vizianagaram,Urban,70-79,76,59,57,21,21,134,99
C4920,28,12,District-Vizianagaram,Urban,80-89,18,21,20,3,3,19,31
C4920,28,12,District-Vizianagaram,Urban,90+,8,1,5,4,2,7,9
C4920,28,12,District-Vizianagaram,Urban,Age Not Stated,14,10,5,16,7,11,10
C4920,28,13,District-Visakhapatnam,Rural,0-4,266,269,258,56,30,171,122
C4920,28,13,District-Visakhapatnam,Rural,5-9,410,354,323,331,278,330,232
C4920,28,13,District-Visakhapatnam,Rural,10-19,875,841,743,654,617,921,662
C4920,28,13,District-Visakhapatnam,Rural,20-29,789,762,758,694,600,1546,1043
C4920,28,13,District-Visakhapatnam,Rural,30-39,768,685,737,788,607,1484,807
C4920,28,13,District-Visakhapatnam,Rural,40-49,914,797,651,733,462,1609,771
C4920,28,13,District-Visakhapatnam,Rural,50-59,884,568,557,410,322,1368,837
C4920,28,13,District-Visakhapatnam,Rural,60-69,1201,731,758,374,296,1635,1016
C4920,28,13,District-Visakhapatnam,Rural,70-79,520,308,329,105,100,512,405
C4920,28,13,District-Visakhapatnam,Rural,80-89,100,66,76,15,19,91,106
C4920,28,13,District-Visakhapatnam,Rural,90+,17,7,13,4,0,12,23
C4920,28,13,District-Visakhapatnam,Rural,Age Not Stated,28,19,18,6,10,24,15
C4920,28,13,District-Visakhapatnam,Urban,0-4,366,309,279,47,51,69,55
C4920,28,13,District-Visakhapatnam,Urban,5-9,440,354,331,249,265,145,76
C4920,28,13,District-Visakhapatnam,Urban,10-19,1088,1232,871,699,595,457,307
C4920,28,13,District-Visakhapatnam,Urban,20-29,1158,1019,1059,760,755,950,672
C4920,28,13,District-Visakhapatnam,Urban,30-39,1240,1159,875,854,751,939,529
C4920,28,13,District-Visakhapatnam,Urban,40-49,1114,1009,728,756,528,972,427
C4920,28,13,District-Visakhapatnam,Urban,50-59,710,655,528,522,366,800,382
C4920,28,13,District-Visakhapatnam,Urban,60-69,524,443,386,344,212,667,379
C4920,28,13,District-Visakhapatnam,Urban,70-79,197,203,182,99,90,275,177
C4920,28,13,District-Visakhapatnam,Urban,80-89,58,53,67,28,23,38,52
C4920,28,13,District-Visakhapatnam,Urban,90+,21,27,34,9,10,6,17
C4920,28,13,District-Visakhapatnam,Urban,Age Not Stated,108,162,113,84,69,76,58
C4920,28,14,District-East Godavari,Rural,0-4,99,118,157,39,31,194,138
C4920,28,14,District-East Godavari,Rural,5-9,215,187,254,363,284,388,329
C4920,28,14,District-East Godavari,Rural,10-19,731,627,645,781,677,1560,1067
C4920,28,14,District-East Godavari,Rural,20-29,655,660,564,636,594,3293,2240
C4920,28,14,District-East Godavari,Rural,30-39,693,508,691,442,440,2575,1527
C4920,28,14,District-East Godavari,Rural,40-49,966,629,694,370,350,2560,1343
C4920,28,14,District-East Godavari,Rural,50-59,1078,604,728,217,208,2201,1265
C4920,28,14,District-East Godavari,Rural,60-69,1859,920,1188,177,177,2960,1745
C4920,28,14,District-East Godavari,Rural,70-79,1144,598,702,60,66,1362,881
C4920,28,14,District-East Godavari,Rural,80-89,293,192,232,18,20,314,291
C4920,28,14,District-East Godavari,Rural,90+,40,25,51,6,2,46,56
C4920,28,14,District-East Godavari,Rural,Age Not Stated,4,4,7,1,0,10,5
C4920,28,14,District-East Godavari,Urban,0-4,30,74,71,13,3,36,37
C4920,28,14,District-East Godavari,Urban,5-9,88,86,84,78,68,98,65
C4920,28,14,District-East Godavari,Urban,10-19,275,263,299,274,184,412,266
C4920,28,14,District-East Godavari,Urban,20-29,216,303,307,267,193,886,639
C4920,28,14,District-East Godavari,Urban,30-39,220,303,276,152,111,754,433
C4920,28,14,District-East Godavari,Urban,40-49,303,225,234,122,106,740,384
C4920,28,14,District-East Godavari,Urban,50-59,303,174,201,72,60,559,307
C4920,28,14,District-East Godavari,Urban,60-69,301,189,220,57,54,552,334
C4920,28,14,District-East Godavari,Urban,70-79,132,105,129,27,19,243,179
C4920,28,14,District-East Godavari,Urban,80-89,45,42,52,3,3,37,59
C4920,28,14,District-East Godavari,Urban,90+,5,7,8,0,1,4,12
C4920,28,14,District-East Godavari,Urban,Age Not Stated,4,2,3,0,2,1,2
C4920,28,15,District-West Godavari,Rural,0-4,62,80,74,33,18,174,121
