Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,15,District-Gopalganj,Urban,30-39,22,38,28,16,12,52,18,22,6
C4920,10,15,District-Gopalganj,Urban,40-49,19,28,28,14,13,38,21,18,10
C4920,10,15,District-Gopalganj,Urban,50-59,23,30,27,9,9,39,21,9,4
C4920,10,15,District-Gopalganj,Urban,60-69,21,26,23,5,9,40,28,6,1
C4920,10,15,District-Gopalganj,Urban,70-79,9,7,7,5,3,27,8,0,1
C4920,10,15,District-Gopalganj,Urban,80-89,5,1,5,1,2,5,5,2,1
C4920,10,15,District-Gopalganj,Urban,90+,4,0,3,0,1,3,1,0,0
C4920,10,15,District-Gopalganj,Urban,Age Not Stated,0,0,0,3,1,0,0,0,0
C4920,10,16,District-Siwan,Rural,0-4,466,593,624,48,46,196,129,70,58
C4920,10,16,District-Siwan,Rural,5-9,676,861,766,315,230,407,237,214,123
C4920,10,16,District-Siwan,Rural,10-19,1201,1583,1351,651,531,1461,828,625,424
C4920,10,16,District-Siwan,Rural,20-29,778,915,874,375,249,1236,430,475,230
C4920,10,16,District-Siwan,Rural,30-39,650,816,718,348,233,947,331,487,231
C4920,10,16,District-Siwan,Rural,40-49,580,651,493,210,184,804,280,348,117
