Table Name,State Code,Distt.Code,Area Name ,Total/Rural/Urban,Age-group,Total number of disabled persons Persons,Total number of disabled persons Males,Total number of disabled persons females,In seeing Persons Persons ,In seeing Persons Males ,In seeing Persons Females ,In Hearing Persons Persons ,In Hearing Persons Males ,In Hearing Persons Females 
C4920,10,19,District-Samastipur,Urban,0-4,16,23,16,6,2,13,6,5,1
C4920,10,19,District-Samastipur,Urban,5-9,10,22,18,9,11,17,15,5,8
C4920,10,19,District-Samastipur,Urban,10-19,39,52,52,23,21,64,40,26,17
C4920,10,19,District-Samastipur,Urban,20-29,18,53,52,21,11,61,39,31,9
C4920,10,19,District-Samastipur,Urban,30-39,22,44,40,13,8,57,21,24,11
C4920,10,19,District-Samastipur,Urban,40-49,17,41,40,12,11,44,18,22,10
C4920,10,19,District-Samastipur,Urban,50-59,18,24,27,11,5,49,14,10,2
C4920,10,19,District-Samastipur,Urban,60-69,24,33,15,4,4,36,25,7,4
C4920,10,19,District-Samastipur,Urban,70-79,9,14,8,2,2,25,11,0,0
C4920,10,19,District-Samastipur,Urban,80-89,3,3,2,2,0,12,4,0,0
C4920,10,19,District-Samastipur,Urban,90+,1,0,1,1,1,0,3,0,0
C4920,10,19,District-Samastipur,Urban,Age Not Stated,0,0,3,0,0,3,0,0,0
C4920,10,20,District-Begusarai,Rural,0-4,1212,764,777,60,45,195,137,87,74
C4920,10,20,District-Begusarai,Rural,5-9,1462,995,1013,363,306,349,217,153,106
C4920,10,20,District-Begusarai,Rural,10-19,2539,1696,1471,657,447,1574,833,472,278
C4920,10,20,District-Begusarai,Rural,20-29,1769,1198,1142,481,345,1404,614,423,227
C4920,10,20,District-Begusarai,Rural,30-39,1583,1112,992,471,318,930,339,410,213
C4920,10,20,District-Begusarai,Rural,40-49,1126,840,651,272,178,724,238,233,117
C4920,10,20,District-Begusarai,Rural,50-59,791,507,482,170,127,518,213,128,95
C4920,10,20,District-Begusarai,Rural,60-69,822,564,526,166,135,621,339,82,57
C4920,10,20,District-Begusarai,Rural,70-79,382,262,201,62,26,332,142,28,21
C4920,10,20,District-Begusarai,Rural,80-89,102,64,83,16,13,84,67,12,7
C4920,10,20,District-Begusarai,Rural,90+,37,23,22,4,3,22,22,2,0
C4920,10,20,District-Begusarai,Rural,Age Not Stated,12,19,17,2,5,13,3,3,0
C4920,10,20,District-Begusarai,Urban,0-4,201,164,171,11,16,46,30,23,10
C4920,10,20,District-Begusarai,Urban,5-9,259,190,197,75,61,78,53,29,26
C4920,10,20,District-Begusarai,Urban,10-19,499,384,329,149,120,329,187,98,69
C4920,10,20,District-Begusarai,Urban,20-29,353,314,275,128,89,340,162,104,53
C4920,10,20,District-Begusarai,Urban,30-39,357,276,226,91,78,231,95,108,44
C4920,10,20,District-Begusarai,Urban,40-49,237,229,174,84,48,142,62,83,27
C4920,10,20,District-Begusarai,Urban,50-59,163,144,107,49,27,141,47,36,25
C4920,10,20,District-Begusarai,Urban,60-69,166,125,111,29,25,109,65,19,17
C4920,10,20,District-Begusarai,Urban,70-79,83,48,36,13,8,55,39,10,6
C4920,10,20,District-Begusarai,Urban,80-89,23,14,10,2,3,18,14,2,0
C4920,10,20,District-Begusarai,Urban,90+,9,2,5,0,0,8,2,0,0
C4920,10,20,District-Begusarai,Urban,Age Not Stated,1,4,2,0,0,0,1,0,0
C4920,10,21,District-Khagaria,Rural,0-4,241,262,241,25,26,145,111,46,37
C4920,10,21,District-Khagaria,Rural,5-9,322,328,349,150,132,261,184,87,65
C4920,10,21,District-Khagaria,Rural,10-19,507,570,488,270,184,928,462,260,166
C4920,10,21,District-Khagaria,Rural,20-29,305,404,339,163,110,721,311,202,103
C4920,10,21,District-Khagaria,Rural,30-39,349,384,324,148,101,538,214,177,87
C4920,10,21,District-Khagaria,Rural,40-49,281,297,208,83,60,428,138,132,66
C4920,10,21,District-Khagaria,Rural,50-59,208,219,160,69,42,346,115,51,36
C4920,10,21,District-Khagaria,Rural,60-69,298,193,189,58,45,376,172,51,41
C4920,10,21,District-Khagaria,Rural,70-79,156,106,72,11,9,181,82,17,9
C4920,10,21,District-Khagaria,Rural,80-89,33,24,10,7,2,49,31,1,4
C4920,10,21,District-Khagaria,Rural,90+,9,12,8,1,1,12,7,5,1
C4920,10,21,District-Khagaria,Rural,Age Not Stated,4,3,2,0,0,0,0,1,0
