Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,8,5,0,District - Jhunjhunun  05,Urban,30-39,171,113,29,19,10,15,181,63,84,33
C4920,8,5,0,District - Jhunjhunun  05,Urban,40-49,150,85,29,7,12,9,156,36,64,19
C4920,8,5,0,District - Jhunjhunun  05,Urban,50-59,126,80,22,5,9,14,137,28,24,16
C4920,8,5,0,District - Jhunjhunun  05,Urban,60-69,107,98,9,10,14,24,85,63,20,16
C4920,8,5,0,District - Jhunjhunun  05,Urban,70-79,81,90,9,2,14,34,65,60,8,6
C4920,8,5,0,District - Jhunjhunun  05,Urban,80-89,23,28,1,3,14,14,24,30,1,4
C4920,8,5,0,District - Jhunjhunun  05,Urban,90+,4,11,0,1,3,1,2,15,0,2
C4920,8,5,0,District - Jhunjhunun  05,Urban,Age not stated,1,0,0,0,0,0,0,1,1,0
C4920,8,6,0,District - Alwar  06,Rural,0-4,1801,1572,65,33,35,33,459,299,105,79
C4920,8,6,0,District - Alwar  06,Rural,5-9,1718,1398,377,222,102,84,1216,766,371,221
C4920,8,6,0,District - Alwar  06,Rural,10-19,2467,2026,655,272,260,146,3546,1670,820,377
C4920,8,6,0,District - Alwar  06,Rural,20-29,2114,1585,340,139,143,56,2247,853,469,211
C4920,8,6,0,District - Alwar  06,Rural,30-39,2102,1252,201,125,113,86,1294,567,368,191
C4920,8,6,0,District - Alwar  06,Rural,40-49,1877,954,111,108,138,72,952,393,264,156
C4920,8,6,0,District - Alwar  06,Rural,50-59,1483,917,89,72,145,108,759,387,145,74
C4920,8,6,0,District - Alwar  06,Rural,60-69,1656,1515,86,68,258,251,770,585,94,79
C4920,8,6,0,District - Alwar  06,Rural,70-79,1368,1246,58,49,255,233,729,564,62,36
C4920,8,6,0,District - Alwar  06,Rural,80-89,596,539,23,19,168,103,338,276,21,13
C4920,8,6,0,District - Alwar  06,Rural,90+,159,175,4,5,54,39,90,100,8,4
