Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Type of disablity - In seeing - Males,Type of disablity - In seeing - Females,Type of disablity - In speech - Males,Type of disablity - In speech - Females,Type of disablity - In hearing - Males,Type of disablity - In hearing - Females,Type of disablity - In movement - Males,Type of disablity - In movement - Females,Type of disablity - Mental - Males,Type of disablity - Mental - Females
C4920,28,6,0,District - Rangareddi  06,Rural,90+,34,50,4,2,6,10,17,23,3,5
C4920,28,6,0,District - Rangareddi  06,Rural,Age not stated,16,11,4,1,0,1,8,6,2,0
C4920,28,6,0,District - Rangareddi  06,Urban,0-4,388,397,30,30,12,11,117,89,67,58
C4920,28,6,0,District - Rangareddi  06,Urban,5-9,577,515,221,159,36,37,270,193,162,141
C4920,28,6,0,District - Rangareddi  06,Urban,10-19,1120,1071,411,339,97,64,991,667,529,410
C4920,28,6,0,District - Rangareddi  06,Urban,20-29,1571,1055,293,235,72,59,943,510,503,274
C4920,28,6,0,District - Rangareddi  06,Urban,30-39,1751,784,193,139,48,50,643,308,335,199
C4920,28,6,0,District - Rangareddi  06,Urban,40-49,1548,629,121,76,45,52,619,212,247,158
C4920,28,6,0,District - Rangareddi  06,Urban,50-59,902,433,71,55,34,54,460,194,156,79
C4920,28,6,0,District - Rangareddi  06,Urban,60-69,561,419,45,33,42,64,298,135,79,47
C4920,28,6,0,District - Rangareddi  06,Urban,70-79,220,210,31,24,46,44,156,85,38,25
C4920,28,6,0,District - Rangareddi  06,Urban,80-89,64,83,8,5,21,22,40,33,9,5
C4920,28,6,0,District - Rangareddi  06,Urban,90+,15,24,1,3,5,4,8,16,1,2
C4920,28,6,0,District - Rangareddi  06,Urban,Age not stated,48,34,8,6,0,2,14,9,16,7
C4920,28,7,0,District - Mahbubnagar  07,Rural,0-4,600,543,79,53,30,14,400,334,99,77
C4920,28,7,0,District - Mahbubnagar  07,Rural,5-9,957,802,638,492,137,116,1242,1022,390,245
C4920,28,7,0,District - Mahbubnagar  07,Rural,10-19,1578,1337,843,718,276,179,3060,2300,831,747
C4920,28,7,0,District - Mahbubnagar  07,Rural,20-29,1633,1037,465,317,141,140,1847,1090,492,512
C4920,28,7,0,District - Mahbubnagar  07,Rural,30-39,2155,963,300,266,141,164,1201,615,417,366
C4920,28,7,0,District - Mahbubnagar  07,Rural,40-49,2102,1124,224,149,149,174,1134,534,337,251
C4920,28,7,0,District - Mahbubnagar  07,Rural,50-59,1849,1625,137,122,186,238,924,631,201,152
C4920,28,7,0,District - Mahbubnagar  07,Rural,60-69,2018,2555,110,120,241,316,935,780,124,113
C4920,28,7,0,District - Mahbubnagar  07,Rural,70-79,1418,1497,50,61,184,214,530,433,37,48
C4920,28,7,0,District - Mahbubnagar  07,Rural,80-89,434,509,21,26,62,82,154,177,14,11
C4920,28,7,0,District - Mahbubnagar  07,Rural,90+,78,103,5,3,16,25,40,43,5,3
C4920,28,7,0,District - Mahbubnagar  07,Rural,Age not stated,35,19,2,3,0,2,9,6,1,2
C4920,28,7,0,District - Mahbubnagar  07,Urban,0-4,64,56,1,1,3,0,28,16,15,10
C4920,28,7,0,District - Mahbubnagar  07,Urban,5-9,117,84,65,38,3,6,81,55,37,32
C4920,28,7,0,District - Mahbubnagar  07,Urban,10-19,313,221,78,94,18,14,320,189,111,77
C4920,28,7,0,District - Mahbubnagar  07,Urban,20-29,200,134,56,36,12,13,204,112,80,56
C4920,28,7,0,District - Mahbubnagar  07,Urban,30-39,281,127,39,23,8,9,126,47,66,33
C4920,28,7,0,District - Mahbubnagar  07,Urban,40-49,268,105,14,10,11,9,135,46,64,13
C4920,28,7,0,District - Mahbubnagar  07,Urban,50-59,182,88,15,3,9,9,105,44,20,8
C4920,28,7,0,District - Mahbubnagar  07,Urban,60-69,117,108,7,5,6,14,69,39,16,9
C4920,28,7,0,District - Mahbubnagar  07,Urban,70-79,61,64,12,4,14,8,34,18,4,2
C4920,28,7,0,District - Mahbubnagar  07,Urban,80-89,23,25,1,0,1,3,14,14,1,2
C4920,28,7,0,District - Mahbubnagar  07,Urban,90+,0,11,0,0,1,2,0,6,0,0
C4920,28,7,0,District - Mahbubnagar  07,Urban,Age not stated,10,2,0,1,0,0,1,0,0,1
C4920,28,8,0,District - Nalgonda  08,Rural,0-4,774,769,73,54,22,18,371,260,122,68
C4920,28,8,0,District - Nalgonda  08,Rural,5-9,981,949,530,427,125,102,1031,704,526,388
