Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,7,8,District-South West,Rural,10-19,22,21,19,29,12,41,26,38,17
C4920,7,8,District-South West,Rural,20-29,14,13,12,13,9,79,28,40,14
C4920,7,8,District-South West,Rural,30-39,19,15,17,6,8,84,36,26,14
C4920,7,8,District-South West,Rural,40-49,23,21,17,8,7,68,26,18,9
C4920,7,8,District-South West,Rural,50-59,25,12,15,3,2,45,35,4,5
C4920,7,8,District-South West,Rural,60-69,48,22,23,2,0,67,67,7,3
C4920,7,8,District-South West,Rural,70-79,28,21,27,0,2,46,35,3,3
C4920,7,8,District-South West,Rural,80-89,8,21,19,0,2,15,30,0,2
C4920,7,8,District-South West,Rural,90+,1,5,1,0,0,9,5,0,0
C4920,7,8,District-South West,Rural,Age Not Stated,1,0,0,0,0,1,0,0,0
C4920,7,8,District-South West,Urban,0-4,94,138,130,25,21,69,44,45,32
C4920,7,8,District-South West,Urban,5-9,123,165,142,146,78,116,78,138,70
C4920,7,8,District-South West,Urban,10-19,317,413,297,276,201,442,257,463,274
C4920,7,8,District-South West,Urban,20-29,399,628,418,274,189,866,416,466,225
C4920,7,8,District-South West,Urban,30-39,296,644,308,183,143,910,419,302,154
C4920,7,8,District-South West,Urban,40-49,282,507,270,183,109,748,365,240,112
C4920,7,8,District-South West,Urban,50-59,253,281,190,98,63,632,357,116,73
C4920,7,8,District-South West,Urban,60-69,223,199,158,58,47,524,380,57,45
C4920,7,8,District-South West,Urban,70-79,128,144,130,19,17,267,294,15,17
C4920,7,8,District-South West,Urban,80-89,46,87,87,7,6,97,152,11,10
C4920,7,8,District-South West,Urban,90+,16,20,23,2,4,18,34,4,3
C4920,7,8,District-South West,Urban,Age Not Stated,7,29,2,0,2,3,2,2,2
C4920,7,9,District-South,Rural,0-4,0,1,2,1,0,0,0,0,0
C4920,7,9,District-South,Rural,5-9,1,4,2,2,0,3,1,0,0
C4920,7,9,District-South,Rural,10-19,6,9,5,3,1,7,0,2,2
C4920,7,9,District-South,Rural,20-29,0,4,2,3,2,3,4,2,1
C4920,7,9,District-South,Rural,30-39,1,7,2,4,3,2,0,0,0
C4920,7,9,District-South,Rural,40-49,1,4,1,0,2,1,0,2,0
C4920,7,9,District-South,Rural,50-59,0,0,0,1,0,0,0,0,0
C4920,7,9,District-South,Rural,60-69,0,1,1,1,0,0,1,0,0
C4920,7,9,District-South,Rural,70-79,0,1,0,1,0,0,0,0,0
C4920,7,9,District-South,Rural,80-89,0,0,0,1,0,1,3,0,0
C4920,7,9,District-South,Rural,90+,0,0,0,0,0,0,0,0,0
C4920,7,9,District-South,Rural,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,7,9,District-South,Urban,0-4,122,200,172,31,21,118,62,51,49
C4920,7,9,District-South,Urban,5-9,221,198,175,178,126,157,119,195,113
C4920,7,9,District-South,Urban,10-19,570,503,413,376,285,651,382,603,433
C4920,7,9,District-South,Urban,20-29,429,789,442,344,228,996,500,534,287
C4920,7,9,District-South,Urban,30-39,393,757,320,240,180,883,445,374,205
C4920,7,9,District-South,Urban,40-49,419,481,292,197,118,792,370,299,194
C4920,7,9,District-South,Urban,50-59,401,335,233,125,71,609,413,163,111
C4920,7,9,District-South,Urban,60-69,366,282,258,79,65,647,562,96,73
C4920,7,9,District-South,Urban,70-79,203,212,220,31,31,388,484,44,34
C4920,7,9,District-South,Urban,80-89,81,133,120,15,19,196,308,17,13
C4920,7,9,District-South,Urban,90+,14,29,30,1,4,44,64,9,1
C4920,7,9,District-South,Urban,Age Not Stated,7,23,8,3,0,9,5,7,2
