Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,9,11,District-Bulandshahr ,Rural,40-49,406,412,324,113,88,696,318,264,130
C4920,9,11,District-Bulandshahr ,Rural,50-59,480,353,306,75,79,528,317,130,93
C4920,9,11,District-Bulandshahr ,Rural,60-69,687,436,429,81,53,510,421,63,58
C4920,9,11,District-Bulandshahr ,Rural,70-79,510,293,347,27,36,334,329,27,32
C4920,9,11,District-Bulandshahr ,Rural,80-89,198,158,164,9,15,158,149,11,9
C4920,9,11,District-Bulandshahr ,Rural,90+,62,57,67,3,3,47,70,5,4
C4920,9,11,District-Bulandshahr ,Rural,Age Not Stated,21,40,50,15,11,38,18,13,3
C4920,9,11,District-Bulandshahr ,Urban,0-4,77,159,119,8,4,39,30,16,16
C4920,9,11,District-Bulandshahr ,Urban,5-9,91,158,130,65,37,77,52,39,23
C4920,9,11,District-Bulandshahr ,Urban,10-19,226,373,329,146,81,387,259,198,91
C4920,9,11,District-Bulandshahr ,Urban,20-29,144,281,238,79,64,419,210,145,81
C4920,9,11,District-Bulandshahr ,Urban,30-39,152,211,175,77,58,225,118,91,50
C4920,9,11,District-Bulandshahr ,Urban,40-49,160,195,138,47,41,176,86,84,48
C4920,9,11,District-Bulandshahr ,Urban,50-59,194,135,144,26,17,144,92,45,28
C4920,9,11,District-Bulandshahr ,Urban,60-69,215,118,131,22,28,146,113,13,10
C4920,9,11,District-Bulandshahr ,Urban,70-79,158,95,111,11,10,85,87,15,13
C4920,9,11,District-Bulandshahr ,Urban,80-89,57,43,44,5,2,35,35,3,1
C4920,9,11,District-Bulandshahr ,Urban,90+,12,16,18,0,3,11,16,2,1
C4920,9,11,District-Bulandshahr ,Urban,Age Not Stated,35,46,36,9,9,14,7,8,4
C4920,9,12,District-Aligarh,Rural,0-4,280,493,491,25,20,144,96,47,32
C4920,9,12,District-Aligarh,Rural,5-9,314,583,514,199,121,248,175,147,103
C4920,9,12,District-Aligarh,Rural,10-19,714,1263,1109,352,273,1604,891,503,307
C4920,9,12,District-Aligarh,Rural,20-29,475,894,701,265,159,1624,616,389,152
C4920,9,12,District-Aligarh,Rural,30-39,375,656,549,190,130,913,459,311,151
C4920,9,12,District-Aligarh,Rural,40-49,391,544,426,141,106,547,274,198,95
C4920,9,12,District-Aligarh,Rural,50-59,378,390,350,99,67,431,222,94,52
C4920,9,12,District-Aligarh,Rural,60-69,475,396,388,85,58,362,281,51,58
C4920,9,12,District-Aligarh,Rural,70-79,362,256,285,31,39,242,223,18,21
C4920,9,12,District-Aligarh,Rural,80-89,139,129,126,5,12,121,110,6,12
C4920,9,12,District-Aligarh,Rural,90+,51,43,46,6,5,43,41,4,6
C4920,9,12,District-Aligarh,Rural,Age Not Stated,30,67,48,12,11,31,30,9,7
C4920,9,12,District-Aligarh,Urban,0-4,119,329,297,13,17,49,28,36,19
C4920,9,12,District-Aligarh,Urban,5-9,162,468,457,113,86,109,49,61,50
C4920,9,12,District-Aligarh,Urban,10-19,392,1186,981,278,154,484,258,226,127
C4920,9,12,District-Aligarh,Urban,20-29,308,1171,752,208,162,487,232,191,83
C4920,9,12,District-Aligarh,Urban,30-39,206,579,516,146,124,306,158,130,58
C4920,9,12,District-Aligarh,Urban,40-49,225,481,375,116,83,206,79,101,56
C4920,9,12,District-Aligarh,Urban,50-59,262,329,314,80,47,146,84,47,33
C4920,9,12,District-Aligarh,Urban,60-69,207,255,238,53,40,148,132,21,21
C4920,9,12,District-Aligarh,Urban,70-79,132,156,134,24,17,103,97,12,6
C4920,9,12,District-Aligarh,Urban,80-89,48,55,58,6,3,42,40,3,4
C4920,9,12,District-Aligarh,Urban,90+,21,19,27,3,4,13,18,5,1
C4920,9,12,District-Aligarh,Urban,Age Not Stated,22,57,52,5,5,16,18,4,8
C4920,9,13,District-Mahamaya Nagar,Rural,0-4,97,226,175,8,3,44,41,23,9
C4920,9,13,District-Mahamaya Nagar,Rural,5-9,113,238,209,62,46,126,75,56,43
C4920,9,13,District-Mahamaya Nagar,Rural,10-19,241,520,429,179,132,770,411,251,125
C4920,9,13,District-Mahamaya Nagar,Rural,20-29,191,389,290,128,68,934,337,198,61
C4920,9,13,District-Mahamaya Nagar,Rural,30-39,152,269,196,52,78,520,220,169,65
C4920,9,13,District-Mahamaya Nagar,Rural,40-49,158,214,166,55,45,354,137,105,49
C4920,9,13,District-Mahamaya Nagar,Rural,50-59,192,164,140,47,28,221,107,53,40
