Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,6,7,District-Panipat,Urban,80-89,33,34,21,3,2,30,35,1,2
C4920,6,7,District-Panipat,Urban,90+,5,12,6,2,0,6,8,1,3
C4920,6,7,District-Panipat,Urban,Age Not Stated,0,0,0,0,0,2,0,1,0
C4920,6,8,District-Sonipat,Rural,0-4,49,188,166,12,3,36,22,26,11
C4920,6,8,District-Sonipat,Rural,5-9,72,194,152,75,40,94,47,65,53
C4920,6,8,District-Sonipat,Rural,10-19,225,508,430,124,75,303,148,288,133
C4920,6,8,District-Sonipat,Rural,20-29,168,424,342,91,54,699,271,252,85
C4920,6,8,District-Sonipat,Rural,30-39,124,325,278,55,34,570,231,176,68
C4920,6,8,District-Sonipat,Rural,40-49,172,254,196,48,32,365,163,126,63
C4920,6,8,District-Sonipat,Rural,50-59,172,175,190,46,23,275,142,61,49
C4920,6,8,District-Sonipat,Rural,60-69,256,224,220,30,27,247,204,48,27
C4920,6,8,District-Sonipat,Rural,70-79,208,167,208,9,5,167,166,20,13
C4920,6,8,District-Sonipat,Rural,80-89,100,137,100,2,3,101,84,7,11
C4920,6,8,District-Sonipat,Rural,90+,27,46,36,0,1,29,28,4,3
C4920,6,8,District-Sonipat,Rural,Age Not Stated,0,6,5,0,1,3,2,1,0
C4920,6,8,District-Sonipat,Urban,0-4,56,130,111,5,4,17,12,11,12
C4920,6,8,District-Sonipat,Urban,5-9,46,157,107,16,21,32,17,40,24
C4920,6,8,District-Sonipat,Urban,10-19,187,349,251,60,30,110,68,111,63
C4920,6,8,District-Sonipat,Urban,20-29,158,315,294,30,22,210,124,125,65
C4920,6,8,District-Sonipat,Urban,30-39,123,237,220,32,26,192,101,96,50
C4920,6,8,District-Sonipat,Urban,40-49,121,204,200,25,14,150,64,78,36
C4920,6,8,District-Sonipat,Urban,50-59,86,147,148,16,15,127,79,51,22
C4920,6,8,District-Sonipat,Urban,60-69,93,128,98,16,8,115,99,24,17
C4920,6,8,District-Sonipat,Urban,70-79,45,74,66,2,4,88,67,10,5
C4920,6,8,District-Sonipat,Urban,80-89,20,33,26,2,1,40,37,1,5
C4920,6,8,District-Sonipat,Urban,90+,9,11,11,0,1,8,10,0,2
C4920,6,8,District-Sonipat,Urban,Age Not Stated,1,3,0,0,1,1,0,2,0
C4920,6,9,District-Jind,Rural,0-4,68,132,118,10,4,50,40,30,21
C4920,6,9,District-Jind,Rural,5-9,99,170,164,73,51,113,56,90,52
C4920,6,9,District-Jind,Rural,10-19,230,418,363,139,80,355,195,288,175
C4920,6,9,District-Jind,Rural,20-29,178,336,294,91,43,770,357,233,88
C4920,6,9,District-Jind,Rural,30-39,182,269,254,80,45,620,302,193,96
C4920,6,9,District-Jind,Rural,40-49,209,210,197,54,36,493,180,154,90
C4920,6,9,District-Jind,Rural,50-59,220,147,175,31,17,295,192,86,66
C4920,6,9,District-Jind,Rural,60-69,403,214,245,32,26,310,252,50,45
C4920,6,9,District-Jind,Rural,70-79,392,186,169,20,8,193,150,28,18
C4920,6,9,District-Jind,Rural,80-89,193,102,78,6,2,94,77,13,5
C4920,6,9,District-Jind,Rural,90+,38,34,35,1,1,26,25,4,1
C4920,6,9,District-Jind,Rural,Age Not Stated,1,3,1,0,0,2,2,1,0
C4920,6,9,District-Jind,Urban,0-4,14,48,40,3,1,11,8,3,4
C4920,6,9,District-Jind,Urban,5-9,12,58,53,13,17,21,8,23,11
C4920,6,9,District-Jind,Urban,10-19,43,157,146,27,26,86,30,91,45
C4920,6,9,District-Jind,Urban,20-29,31,147,138,22,20,125,86,86,32
C4920,6,9,District-Jind,Urban,30-39,39,94,100,17,18,136,64,61,24
C4920,6,9,District-Jind,Urban,40-49,55,79,100,19,12,82,44,54,25
C4920,6,9,District-Jind,Urban,50-59,46,55,59,9,3,89,53,26,16
C4920,6,9,District-Jind,Urban,60-69,49,58,52,5,1,71,43,10,8
C4920,6,9,District-Jind,Urban,70-79,43,39,30,2,2,34,40,2,4
C4920,6,9,District-Jind,Urban,80-89,17,18,23,0,4,12,14,0,3
C4920,6,9,District-Jind,Urban,90+,2,8,1,0,1,6,3,0,0
C4920,6,9,District-Jind,Urban,Age Not Stated,1,1,0,0,0,1,0,0,0
C4920,6,10,District-Fatehabad,Rural,0-4,42,55,64,6,6,54,36,10,11
C4920,6,10,District-Fatehabad,Rural,5-9,67,82,61,75,38,110,57,68,46
C4920,6,10,District-Fatehabad,Rural,10-19,202,213,160,152,64,400,214,280,175
C4920,6,10,District-Fatehabad,Rural,20-29,133,214,143,66,54,669,372,206,104
C4920,6,10,District-Fatehabad,Rural,30-39,123,170,135,74,42,698,317,211,115
C4920,6,10,District-Fatehabad,Rural,40-49,163,155,148,46,28,431,222,153,82
C4920,6,10,District-Fatehabad,Rural,50-59,173,137,114,23,22,288,193,88,54
C4920,6,10,District-Fatehabad,Rural,60-69,267,190,168,28,27,325,258,81,53
C4920,6,10,District-Fatehabad,Rural,70-79,184,124,129,8,14,175,171,28,22
C4920,6,10,District-Fatehabad,Rural,80-89,90,63,79,5,3,79,100,15,5
C4920,6,10,District-Fatehabad,Rural,90+,22,19,38,0,3,26,35,5,2
C4920,6,10,District-Fatehabad,Rural,Age Not Stated,1,4,3,1,0,4,3,4,0
C4920,6,10,District-Fatehabad,Urban,0-4,19,27,16,3,1,9,7,10,10
C4920,6,10,District-Fatehabad,Urban,5-9,16,32,26,8,9,15,7,19,15
C4920,6,10,District-Fatehabad,Urban,10-19,45,66,58,32,16,60,46,65,39
C4920,6,10,District-Fatehabad,Urban,20-29,44,55,47,24,8,120,78,71,37
C4920,6,10,District-Fatehabad,Urban,30-39,30,43,39,14,8,110,63,49,26
C4920,6,10,District-Fatehabad,Urban,40-49,33,35,36,9,7,73,48,46,26
C4920,6,10,District-Fatehabad,Urban,50-59,37,37,32,12,7,58,34,19,15
C4920,6,10,District-Fatehabad,Urban,60-69,39,39,42,8,3,66,46,12,11
C4920,6,10,District-Fatehabad,Urban,70-79,27,32,23,3,6,25,46,2,3
C4920,6,10,District-Fatehabad,Urban,80-89,10,26,20,0,1,10,24,2,2
C4920,6,10,District-Fatehabad,Urban,90+,1,9,5,0,0,5,4,1,1
C4920,6,10,District-Fatehabad,Urban,Age Not Stated,1,1,3,0,0,3,2,0,1
C4920,6,11,District-Sirsa,Rural,0-4,68,87,87,5,6,57,47,16,21
C4920,6,11,District-Sirsa,Rural,5-9,78,138,104,53,50,125,74,74,44
C4920,6,11,District-Sirsa,Rural,10-19,200,352,266,190,101,465,237,295,158
C4920,6,11,District-Sirsa,Rural,20-29,192,304,212,108,58,819,420,236,119
C4920,6,11,District-Sirsa,Rural,30-39,154,285,210,67,53,702,400,244,129
C4920,6,11,District-Sirsa,Rural,40-49,186,245,180,63,32,410,211,174,98
C4920,6,11,District-Sirsa,Rural,50-59,175,156,151,29,24,290,191,101,54
C4920,6,11,District-Sirsa,Rural,60-69,317,227,238,27,17,368,256,81,52
C4920,6,11,District-Sirsa,Rural,70-79,210,190,214,16,11,191,182,25,25
C4920,6,11,District-Sirsa,Rural,80-89,118,127,114,4,3,93,113,7,7
C4920,6,11,District-Sirsa,Rural,90+,32,32,57,2,4,40,43,3,6
C4920,6,11,District-Sirsa,Rural,Age Not Stated,2,2,4,0,0,8,6,1,1
C4920,6,11,District-Sirsa,Urban,0-4,26,45,49,5,1,14,13,12,4
C4920,6,11,District-Sirsa,Urban,5-9,41,79,45,25,12,38,14,21,18
