Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,1,7,District-Kathua,Rural,10-19,361,224,146,153,90,155,88,141,76
C4920,1,7,District-Kathua,Rural,20-29,290,182,164,83,66,214,128,118,69
C4920,1,7,District-Kathua,Rural,30-39,246,206,136,107,66,274,129,120,67
C4920,1,7,District-Kathua,Rural,40-49,224,185,118,74,45,215,102,89,58
C4920,1,7,District-Kathua,Rural,50-59,182,134,90,46,29,156,79,42,21
C4920,1,7,District-Kathua,Rural,60-69,205,139,111,32,18,126,83,21,21
C4920,1,7,District-Kathua,Rural,70-79,150,117,120,20,17,105,92,19,14
C4920,1,7,District-Kathua,Rural,80-89,101,71,77,6,6,41,36,5,9
C4920,1,7,District-Kathua,Rural,90+,35,15,19,1,0,14,5,0,2
C4920,1,7,District-Kathua,Rural,Age Not Stated,2,2,1,0,0,3,0,0,0
C4920,1,7,District-Kathua,Urban,0-4,42,12,8,0,1,0,2,1,1
C4920,1,7,District-Kathua,Urban,5-9,53,15,11,1,1,1,7,8,3
C4920,1,7,District-Kathua,Urban,10-19,96,36,28,11,11,15,9,17,14
C4920,1,7,District-Kathua,Urban,20-29,113,40,27,13,8,18,11,20,16
C4920,1,7,District-Kathua,Urban,30-39,100,24,22,15,6,20,16,12,9
C4920,1,7,District-Kathua,Urban,40-49,79,23,17,18,4,29,10,16,13
C4920,1,7,District-Kathua,Urban,50-59,49,23,15,9,6,23,11,9,8
C4920,1,7,District-Kathua,Urban,60-69,33,19,18,1,4,15,14,1,1
C4920,1,7,District-Kathua,Urban,70-79,24,18,26,0,1,17,13,2,3
C4920,1,7,District-Kathua,Urban,80-89,8,6,4,0,1,5,7,0,0
C4920,1,7,District-Kathua,Urban,90+,6,0,2,0,0,2,1,0,0
C4920,1,7,District-Kathua,Urban,Age Not Stated,0,0,0,0,0,0,0,0,0
C4920,1,8,District-Baramula,Rural,0-4,137,189,140,8,7,69,52,33,36
C4920,1,8,District-Baramula,Rural,5-9,184,185,164,108,56,125,84,85,75
C4920,1,8,District-Baramula,Rural,10-19,383,442,349,224,136,432,283,254,243
C4920,1,8,District-Baramula,Rural,20-29,269,382,228,121,78,401,295,277,194
C4920,1,8,District-Baramula,Rural,30-39,213,331,214,126,65,338,210,214,145
C4920,1,8,District-Baramula,Rural,40-49,228,296,181,99,52,345,187,215,133
C4920,1,8,District-Baramula,Rural,50-59,208,195,171,53,45,261,181,112,88
C4920,1,8,District-Baramula,Rural,60-69,222,239,193,32,22,272,170,93,71
C4920,1,8,District-Baramula,Rural,70-79,211,200,137,14,15,212,129,39,32
C4920,1,8,District-Baramula,Rural,80-89,99,83,52,7,7,94,44,14,15
C4920,1,8,District-Baramula,Rural,90+,52,36,19,1,3,23,13,4,3
C4920,1,8,District-Baramula,Rural,Age Not Stated,2,2,2,2,0,1,0,1,3
C4920,1,8,District-Baramula,Urban,0-4,17,50,33,1,2,7,6,3,7
C4920,1,8,District-Baramula,Urban,5-9,18,36,41,15,13,17,14,9,6
C4920,1,8,District-Baramula,Urban,10-19,44,93,112,31,19,49,27,46,34
C4920,1,8,District-Baramula,Urban,20-29,52,157,88,24,23,66,37,46,20
