Table Name,State Code,Distt.Code,Area Name,Total/Rural/Urban,Age-group,In seeing Persons Males,In Hearing Persons Males,In Hearing Persons Females,In Speech Males,In Speech Females,In Movement Males,In Movement  Females,Mental Persons Males,Mental Persons Females
C4920,8,11,District-Dausa,Urban,50-59,48,30,18,9,3,57,32,7,8
C4920,8,11,District-Dausa,Urban,60-69,60,30,36,5,4,75,75,7,6
C4920,8,11,District-Dausa,Urban,70-79,50,31,35,3,3,55,62,2,3
C4920,8,11,District-Dausa,Urban,80-89,16,16,16,1,1,27,30,0,1
C4920,8,11,District-Dausa,Urban,90+,2,4,5,0,0,5,10,0,0
C4920,8,11,District-Dausa,Urban,Age Not Stated,6,3,4,0,1,10,6,3,0
C4920,8,12,District-Jaipur,Rural,0-4,504,356,348,46,31,172,130,56,47
C4920,8,12,District-Jaipur,Rural,5-9,593,506,426,280,190,356,183,253,141
C4920,8,12,District-Jaipur,Rural,10-19,1208,1056,899,560,328,1099,629,922,468
C4920,8,12,District-Jaipur,Rural,20-29,941,811,653,364,255,1805,803,643,251
C4920,8,12,District-Jaipur,Rural,30-39,756,670,555,288,196,1668,818,506,223
C4920,8,12,District-Jaipur,Rural,40-49,780,615,434,224,144,1159,543,407,208
C4920,8,12,District-Jaipur,Rural,50-59,817,468,448,166,89,1023,688,213,157
C4920,8,12,District-Jaipur,Rural,60-69,1232,589,675,112,87,1398,1622,110,99
C4920,8,12,District-Jaipur,Rural,70-79,1106,518,629,53,54,1497,1952,45,45
C4920,8,12,District-Jaipur,Rural,80-89,448,223,313,11,19,659,928,12,12
C4920,8,12,District-Jaipur,Rural,90+,80,40,77,5,5,121,220,4,5
C4920,8,12,District-Jaipur,Rural,Age Not Stated,7,5,1,1,2,0,2,0,3
C4920,8,12,District-Jaipur,Urban,0-4,1175,736,648,59,45,105,96,110,80
C4920,8,12,District-Jaipur,Urban,5-9,1330,791,743,329,270,211,138,304,161
C4920,8,12,District-Jaipur,Urban,10-19,2741,1727,1508,710,557,706,385,841,503
C4920,8,12,District-Jaipur,Urban,20-29,2375,1652,1492,722,552,1223,720,799,478
C4920,8,12,District-Jaipur,Urban,30-39,1924,1417,1206,602,479,1339,707,626,383
C4920,8,12,District-Jaipur,Urban,40-49,1615,1221,849,564,378,998,482,477,284
C4920,8,12,District-Jaipur,Urban,50-59,1259,824,645,386,249,856,432,314,147
C4920,8,12,District-Jaipur,Urban,60-69,912,549,499,239,175,714,598,157,120
C4920,8,12,District-Jaipur,Urban,70-79,567,367,387,116,74,518,540,43,44
